Date,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_Avg,SRP_1,SRP_2,SRP_3,SRP_4,SRP_5,SRP_6,SRP_Avg,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_Avg,PON_1,PON_2,PON_3,PON_4,PON_5,PON_6,PON_Avg,POC_1,POC_2,POC_3,POC_4,POC_5,POC_6,POC_Avg,Temp,Chlorophyll,Salinity,picoeuk_ml,PNEconc_ml,Proconc_ml,Synconc_ml,JGI_DOI,JGI_Project_Name,JGI_Sequencing_Project_ID,JGI_Library_Name,JGI_Project_ID,NCBI_BioSample
1/21/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.567,2.386,32.883,,,,,,,,,,
1/22/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.553,1.837,32.34,,,,,,,,,,
1/23/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.566,1.54,32.771,,,,,,,,,,
1/24/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.234,1.257,32.736,,,,,,,,,,
1/25/2012,,,,,,,,,,,,,,,0.375,,0.363,,0.35,,0.363,5.126,,5.612,,4.298,,5.012,40.797,40.297,,,,,40.547,14.355,1.06,32.856,1669.88,12484.83,3237.72,18784.49,10.46936/10.25585/60001365,Newport_SRmetag_120125.NP2,1308781,HSWSH,1308618,
1/26/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.292,0.951,32.849,,,,,,,,,,
1/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.641,0.895,32.83,,,,,,,,,,
1/28/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.02,0.783,32.927,,,,,,,,,,
1/29/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.351,0.844,32.947,,,,,,,,,,
1/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.315,0.885,32.942,,,,,,,,,,
1/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.499,0.97,32.945,,,,,,,,,,
2/1/2012,,,,,,,,,,,,,,,0.375,0.313,0.334,,0.309,,0.333,4.736,4.879,,,4.831,,4.815,38.022,39.132,37.467,,,,38.207,14.592,1.465,32.954,12869.48,19391.6,3208.58,41829.39,,,,,,
2/2/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.644,1.936,32.953,,,,,,,,,,
2/4/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.931,2.221,32.959,,,,,,,,,,
2/5/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.662,2.377,32.955,,,,,,,,,,
2/6/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.676,2.961,32.949,,,,,,,,,,
2/7/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.655,2.898,32.946,,,,,,,,,,
2/8/2012,,,,,,,,,,,,,,,0.232,0.352,0.241,,0.174,,0.25,3.308,3.141,3.498,,3.451,,3.35,28.308,27.476,25.533,,,,27.105,14.582,2.858,32.913,4476.52,12433.42,1130.22,13372.93,10.46936/10.25585/60001365,Newport_SRmetag_120208.NP1,1308782,HSWSN,1308620,
2/9/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.673,2.91,32.932,,,,,,,,,,
2/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.599,3.407,32.932,,,,,,,,,,
2/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.149,4.071,32.95,,,,,,,,,,
2/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.039,3.976,32.827,,,,,,,,,,
2/13/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.194,3.656,32.777,,,,,,,,,,
2/14/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.675,4.063,32.758,,,,,,,,,,
2/15/2012,,,,,,,,,,,,,,,0.573,0.482,0.615,,0.489,,0.54,6.092,6.425,4.998,,,,5.838,48.013,47.735,51.066,,,,48.938,14.79,3.593,32.825,11748.27,25219.56,0,11497.7,,,,,,
2/16/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.245,3.458,32.746,,,,,,,,,,
2/17/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.078,3.021,32.826,,,,,,,,,,
2/18/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.453,3.468,32.832,,,,,,,,,,
2/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.519,3.529,32.841,,,,,,,,,,
2/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.663,3.269,32.865,,,,,,,,,,
2/21/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.663,3.269,32.865,,,,,,,,,,
2/22/2012,5.93,,5.736,,,,5.833,0.502,,0.509,,0.517,,0.509,,0.331,0.387,,0.324,,0.347,3.451,6.045,3.403,,6.021,,4.73,25.81,25.81,29.418,,,,27.013,14.611,2.882,32.873,7264.99,13779.35,0,24994.04,,,,,,
2/23/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.611,2.882,32.873,,,,,,,,,,
2/24/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.665,2.792,32.885,,,,,,,,,,
2/25/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.521,2.853,32.916,,,,,,,,,,
2/26/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.225,2.81,32.928,,,,,,,,,,
2/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.67,2.851,32.951,,,,,,,,,,
2/28/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.341,2.834,32.903,,,,,,,,,,
2/29/2012,8.28,7.891,8.167,7.405,,,7.936,0.693,0.737,0.701,0.796,0.701,,0.726,0.34,0.39,,0.36,0.354,0.338,0.357,4.545,,4.522,4.593,4.307,4.45,4.484,29.141,,27.753,29.418,25.81,29.97327383,28.419,14.426,2.43,32.883,29043.55,39158.29,0,8740.36,,,,,,
3/1/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.585,2.546,32.893,,,,,,,,,,
3/2/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.333,2.344,32.814,,,,,,,,,,
3/3/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.144,2.306,32.863,,,,,,,,,,
3/4/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.08,2.265,32.873,,,,,,,,,,
3/5/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.815,2.233,32.844,15069.97,27168.19,0,9867.85,,,,,,
3/6/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27,2.185,32.868,,,,,,,,,,
3/7/2012,,4.198,,4.946,,5.438,4.861,,0.686,,0.767,,,0.726,0.662,0.69,,0.719,,0.662,0.683,,10.757,11.352,13.446,11.709,13.327,12.118,90.752,71.603,78.819,87.145,73.823,84.09168491,81.039,14.801,2.232,32.911,,,,,10.46936/10.25585/60001365,Newport_SRmetag_120307.NP2,1308784,HSWSP,1308624,
3/8/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.931,1.795,33.012,,,,,,,,,,
3/9/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.671,1.651,33.028,,,,,,,,,,
3/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.419,1.637,33.048,,,,,,,,,,
3/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.366,1.644,33.035,,,,,,,,,,
3/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.016,1.631,33.054,28985.72,37707.85,0,22905.27,,,,,,
3/13/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.181,1.611,33.054,,,,,,,,,,
3/14/2012,5.238,6.435,5.201,5.698,5.551,5.698,5.637,0.431,0.177,0.318,0.459,0.769,0.206,0.393,0.614,0.623,0.597,,0.63,0.679,0.629,13.375,10.566,12.684,8.115,7.592,8.282,10.102,59.669,,54.673,59.669,46.903,62.44432048,56.672,12.661,1.48,33.078,,,,,,,,,,
3/15/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.702,1.44,33.085,,,,,,,,,,
3/16/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.57,1.388,33.062,,,,,,,,,,
3/17/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.583,1.428,33.044,,,,,,,,,,
3/18/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.492,0.805,33.175,,,,,,,,,,
3/21/2012,,20.026,20.836,19.289,19.344,20.099,19.919,2.882,,,2.544,1.98,2.375,2.445,,0.173,0.185,0.19,0.169,0.187,0.181,2.07,2.261,2.166,2.189,2.451,2.237,2.229,13.321,15.819,15.264,16.374,15.819,14.7091066,15.218,10.968,0.815,33.212,3295.37,4060.03,0,2738.73,10.46936/10.25585/60001365,Newport_SRmetag_120321.NP2,1308783,HSWSO,1308622,
3/22/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.778,0.893,33.131,,,,,,,,,,
3/23/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.961,1.29,33.139,,,,,,,,,,
3/24/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.758,1.306,33.117,,,,,,,,,,
3/25/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.229,1.35,33.078,,,,,,,,,,
3/26/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.803,1.309,33.128,,,,,,,,,,
3/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65,1.36,33.046,,,,,,,,,,
3/28/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.354,1.399,32.933,,,,,,,,,,
3/29/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63,1.513,32.995,,,,,,,,,,
3/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04,1.465,33.049,,,,,,,,,,
3/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.001,1.418,33.06,,,,,,,,,,
4/1/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.446,1.361,33.061,,,,,,,,,,
4/2/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.948,1.048,33.021,,,,,,,,,,
4/3/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.254,1.022,33.035,,,,,,,,,,
4/4/2012,5.117,5.054,5.19,5.793,5.927,5.94,5.504,0.82,0.82,0.75,0.679,0.75,0.719,0.756,0.42,0.474,0.428,0.462,0.42,0.476,0.447,6.449,5.64,5.807,5.997,5.402,5.783,5.846,40.519,43.295,38.299,46.903,35.524,44.95991075,41.583,14.11,1.015,32.993,20482.39,26509.37,0,6679.92,10.46936/10.25585/60001365,Newport_SRmetag_120404.NP1,1308786,HPBYB,1308628,
4/5/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.157,1.031,33.022,,,,,,,,,,
4/6/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.913,1.065,33.043,,,,,,,,,,
4/7/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.879,1.103,33.068,,,,,,,,,,
4/8/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.437,1.084,33.07,,,,,,,,,,
4/9/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.701,1.095,33.069,,,,,,,,,,
4/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.674,1.122,33.058,,,,,,,,,,
4/11/2012,5.054,5.508,5.665,5.973,,6.21,5.682,0.477,0.548,0.558,0.407,0.386,0.397,0.462,0.419,0.397,,0.403,0.388,0.366,0.395,4.76,4.855,5.259,4.736,5.378,4.783,4.962,36.634,33.859,35.246,33.304,35.801,36.63400135,35.246,14.51,1.165,33.028,17485.69,20556.78,0,5702.65,,,,,,
4/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.005,1.183,33.041,,,,,,,,,,
4/13/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.559,1.172,33.054,,,,,,,,,,
4/14/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.714,0.808,32.598,,,,,,,,,,
4/15/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.506,0.664,32.913,,,,,,,,,,
4/16/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.701,0.718,32.752,,,,,,,,,,
4/17/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.629,0.713,32.951,,,,,,,,,,
4/18/2012,8.593,8.744,7.988,8.271,6.801,7.161,7.926,0.578,0.528,0.619,0.598,0.598,0.639,0.593,0.377,,0.498,0.439,0.358,0.477,0.43,6.045,,6.378,5.973,4.95,5.64,5.797,37.987,46.425,36.23,38.086,33.267,39.99860355,38.666,13.3,0.761,33.018,26574.4,42186.44,0,20593.95,10.46936/10.25585/60001365,Newport_SRmetag_120418.NP2,1308801,HSWTP,1308658,
4/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.716,0.833,32.974,,,,,,,,,,
4/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.056,0.816,32.949,,,,,,,,,,
4/21/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27,0.813,32.936,,,,,,,,,,
4/22/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.926,0.799,32.977,,,,,,,,,,
4/23/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.808,0.786,32.977,,,,,,,,,,
4/24/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.777,0.783,32.974,,,,,,,,,,
4/25/2012,3.215,3.228,3.367,2.135,2.893,,2.968,,0.494,0.48,0.445,0.501,0.501,0.484,0.529,0.418,0.404,0.53,0.388,0.471,0.457,7.354,,6.33,7.354,7.282,6.211,6.906,55.282,55.282,44.855,51.361,44.219,47.56990626,49.761,15.341,0.759,32.992,,,,,10.46936/10.25585/60001365,Newport_SRmetag_120425.NP2,1308785,HSWSS,1308626,
4/26/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.562,0.734,32.869,,,,,,,,,,
4/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.274,0.731,32.906,26574.4,5457.77,0,0,,,,,,
4/28/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.148,0.709,32.907,,,,,,,,,,
4/29/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.248,0.69,32.922,,,,,,,,,,
4/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.957,0.694,32.888,,,,,,,,,,
5/1/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.203,0.686,32.957,,,,,,,,,,
5/2/2012,0.292,0.203,0.146,0.146,1.109,0.462,0.393,0.166,0.152,0.145,0.145,0.145,0.145,0.15,0.253,0.234,0.255,0.214,0.248,0.221,0.238,3.26,3.07,3.308,3.284,3.13,,3.21,25.499,22.749,26.032,20.59,26.989,20.37946109,23.706,16.169,0.678,32.959,3893,18049.11,0,23606.29,,,,,,
5/3/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.682,0.685,32.958,,,,,,,,,,
5/4/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.997,0.676,32.969,,,,,,,,,,
5/5/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.962,0.673,32.979,,,,,,,,,,
5/6/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.055,0.663,32.986,,,,,,,,,,
5/7/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.633,0.65,32.966,,,,,,,,,,
5/8/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.047,0.643,32.996,,,,,,,,,,
5/9/2012,0.254,0.216,0.172,0.107,0.543,0.26,0.259,0.263,0.284,0.242,0.263,0.263,0.263,0.263,0.142,0.158,0.16,0.181,0.183,0.154,0.163,2.047,1.951,1.901,2.347,1.853,1.951,2.008,15.604,14.919,15.132,17.48,14.537,15.26008598,15.489,16.994,0.642,32.998,42121.07,55412.31,0,43067.15,,,,,,
5/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.869,0.627,33.013,,,,,,,,,,
5/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.715,0.62,32.998,,,,,,,,,,
5/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.326,0.604,33.034,,,,,,,,,,
5/13/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.702,0.583,33.044,,,,,,,,,,
5/14/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.142,0.573,33.039,,,,,,,,,,
5/15/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.714,0.563,33.001,,,,,,,,,,
5/16/2012,2.02,1.576,1.839,1.412,2.053,1.527,1.738,0.501,0.459,0.487,0.431,0.466,0.431,0.462,0.398,0.396,0.413,0.45,0.44,0.392,0.415,7.118,6.823,7.204,7.244,6.384,6.133,6.818,36.66,41.857,38.81,36.22,41.145,40.50313117,39.199,17.072,0.536,32.975,22131.79,30539.32,0,28195.68,10.46936/10.25585/60001365,Newport_SRmetag_120516.NP2,1308822,HSWUO,1308700,
5/17/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.423,0.498,32.982,,,,,,,,,,
5/18/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.553,0.451,32.967,,,,,,,,,,
5/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.417,0.408,32.971,,,,,,,,,,
5/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66,0.381,32.988,,,,,,,,,,
5/21/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.511,0.372,32.985,,,,,,,,,,
5/22/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.381,0.364,33.107,,,,,,,,,,
5/23/2012,0.305,0.368,0.224,0.185,0.22,0.085,0.231,,,0.301,,0.384,,0.342,,,0.328,,0.354,0.361,0.348,5.395,5.748,5.576,5.607,4.936,5.169,5.405,34.337,37.763,35.483,34.908,33.074,32.65273575,34.703,18.359,0.354,33.165,39306.69,60731.85,0,88914.55,,,,,,
5/24/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.637,0.352,33.265,,,,,,,,,,
5/25/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09,0.349,33.306,,,,,,,,,,
5/26/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.586,0.31,33.436,,,,,,,,,,
5/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.994,0.318,33.413,,,,,,,,,,
5/30/2012,0.516,0.233,1.396,,0.316,,0.615,,,0.388,,0.457,,0.422,,,0.451,,0.566,0.536,0.518,,5.569,7.116,5.831,6.806,6.069,6.278,33.304,36.634,,36.634,,39.13177417,36.426,19.99,0.302,33.384,8184.65,10952.09,0,105797.62,10.46936/10.25585/60001365,Newport_SRmetag_120530.NP2,1308787,HSWST,1308630,
5/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.581,0.297,33.377,,,,,,,,,,
6/1/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.316,0.303,33.365,,,,,,,,,,
6/2/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.041,0.314,33.348,,,,,,,,,,
6/3/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.079,0.322,33.379,,,,,,,,,,
6/4/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.367,0.326,33.356,,,,,,,,,,
6/5/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.422,0.332,33.365,,,,,,,,,,
6/6/2012,0.368,0.301,0.314,,0.423,,0.352,,,0.344,,0.425,,0.384,,,0.404,0.326,0.37,,0.367,5.188,5.783,5.307,5.283,5.593,4.998,5.359,38.577,36.079,36.912,38.577,39.409,38.29918323,37.975,19.331,0.358,33.391,,,,,,,,,,
6/7/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.406,0.369,33.361,,,,,,,,,,
6/8/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.886,0.381,33.364,11305.71,23395.85,0,38060.28,,,,,,
6/9/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.701,0.398,33.367,,,,,,,,,,
6/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.749,0.397,33.386,,,,,,,,,,
6/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.084,0.406,33.414,,,,,,,,,,
6/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.338,0.477,33.422,,,,,,,,,,
6/13/2012,0.08,,0.08,,0.194,,0.118,,,0.318,,0.303,,0.31,,,0.221,0.211,0.219,0.215,0.216,3.427,2.975,3.665,3.403,3.522,3.165,3.359,23.59,24.978,23.59,24.978,27.753,22.75748569,24.608,19.81,1.669,33.644,,,,,,,,,,
6/14/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.529,1.204,33.659,,,,,,,,,,
6/15/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.464,1.908,33.675,,,,,,,,,,
6/17/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.012,2.069,33.684,,,,,,,,,,
6/18/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.183,1.704,33.632,,,,,,,,,,
6/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.808,2.783,33.584,,,,,,,,,,
6/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.979,2.679,33.551,,,,,,,,,,
6/21/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.344,2.684,33.545,,,,,,,,,,
6/22/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.924,2.893,33.549,,,,,,,,,,
6/23/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.902,5.996,33.55,,,,,,,,,,
6/24/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.233,3.443,33.532,,,,,,,,,,
6/25/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.133,2.967,33.503,,,,,,,,,,
6/26/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.836,1.949,33.502,,,,,,,,,,
6/27/2012,0.08,,0.08,,0.179,,0.113,,,0.143,,0.223,,0.183,,,1.12,1.246,,,1.183,,,,15.659,14.374,14.993,15.009,150.699,175.399,102.409,130.994,111.567,126.5538228,132.937,15.71,3.6,33.504,5907.81,16842.56,0,8770.07,10.46936/10.25585/60001365,Newport_SRmetag_120627.NP1,1308794,HSWTA,1308644,
6/28/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.634,3.412,33.474,,,,,,,,,,
